provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalUnsound,random-10-6,0,2,true,3,48,48
AlphabeticalUnsound,argus-bevy-4396782807146839494,0,2,true,15,90,90
AlphabeticalUnsound,random-20-9,0,1,true,16,114,114
AlphabeticalRelevant,manual-6,0,0,true,22,20,20
AlphabeticalRelevant,argus-axum-16221033744433962440,0,0,true,535,94,94
AlphabeticalUnsound,random-20-9,0,2,true,16,114,114
AlphabeticalComplete,random-10-6,0,0,true,21,25,25
AlphabeticalRelevant,random-20-7,0,2,true,83,28,28
AlphabeticalRelevant,manual-6,0,1,true,22,20,20
AlphabeticalUnsound,random-60-6,0,2,true,142,354,354
